Business LIcense,Violation Date,Violation,Inspector Comments
13FOOD-0014,1/2/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Provide soap and paper towels at the handsink in the dishwashing area
13FOOD-0014,1/2/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION.Cooked hamburgers at 110 F in the holding unit were discarded because it was discovered they were not cooked to the proper final cooking temp in the Turbo Chef machine.New hamburgers were cooked and the final temp was 168 F
08FOOD-0181,1/3/18,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,The dipper wells were storing utensils in water without the water running. Keep the dipper wells running when storing utensils in water.
08FOOD-0181,1/3/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Wash rinse and sanitize the inside of the ice machine in back to remove the visible mold residue
14FOOD-0039,1/3/18,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Provide handsoap in the men's room as the dispenser is empty.
14FOOD-0039,1/3/18,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. Quaternary ammonia leveltested out at 0 ppm.Quaternary ammonia Sanitizer must be between 150-400 ppm
14FOOD-0039,1/3/18,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Obtain proper shelving in the rear storage room and instead of using an unused refrigerator prep unit which is storing all types of items to include chemicals and non food contact equipment such as racks and posts.There is another unused refrigerator unit storing single service ware. Do not store unnecessary equipment in the storage room. Obtain proper shelving or dunnage racks like that being used to store the soda.
16FOOD-0002,1/3/18,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION.Provide a sanitizer such as a gallon of bleach to be used in the catering kitchen 3 compartment sink.
14FOOD-0039,1/3/18,"(17) FOOD EQUIPMENT AND UTENSILS: Accurate thermometers, chemical test kits provided; gauge cock.",Locate the sanitizer test strips so the sanitizing solution can be tested regularly.
15FOOD-0001,1/3/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",Replace the rusty rack inside the Silver King whip cream unit
16FOOD-0002,1/3/18,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.No verification could be made of a Certified Food Service Manager.Provide the name of a person Certified in Food Service Management who oversees food events
15FOOD-0001,1/3/18,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Wash rinse and sanitize the inside of the ice machine to remove the visible mold
09FOOD-0424,1/4/18,"(19) FOOD EQUIPMENT AND UTENSILS: Wash, rinse water: clean, proper temperature",The employee did not correctly explain the manual dishwashing steps as she said the rinse is in the first sink. I explained the manual dishwashing steps are 1st sink Wash with soap2nd sink rinse with water3rd sink sanitize
16FOOD-0041,1/5/18,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Food debris found on dish machine. Clean for pest prevention.
10FOOD-0044,1/5/18,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Sliced cheese |  sliced tomatoes and shredded cheese were found at 52-54F due to prep cooler being 52F.  Items were placed in cooler at 8am. Ensure these items are served or discarded today by 12pm. Discontinue use of prep cooler until it is repaired. Cooler must maintain food at 41F or below.
16FOOD-0041,1/5/18,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Food splatter on wall next to garbage bin. Clean.
09FOOD-0162,1/9/18,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",Replace the bare wood shelf storing single service containers with an NSF shelving unit as bare wood absorbs food and liquid residue and is not day to clean.
09FOOD-0162,1/9/18,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Chlorine at 0 ppm the wiping cloth bucket must be between 50-200 ppm
09FOOD-0162,1/9/18,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.There was over 200 ppm of chlorine in the deli spray bottle which is used for work surfaces. The chlorine level shall be between 50-200 ppm.
